microRNA ID	Chromosome	Start	Stop	Length	Strand	Total counts	Maximum counts	Geometric mean	Arithmetic mean	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)	FC 95% lower limit (EV CL1-0 vs. CE CL1-0)	FC 95% upper limit (EV CL1-0 vs. CE CL1-0)
hsa-let-7b-5p	22	46113691	46113713	22	+	36152.83255039049E0	13830.913961746932E0	2730.757409241435E0	4519.104068798812E0	2.148224803754431E-4	0.0010587679389932553E0	8.05400398691687E0	3.0097061864510093E0	8.05400398691687E0	3441.2261392552664E0	427.2689886462613E0	3.8122100127012044E0	17.01558413758802E0
hsa-let-7d-5p	9	94178841	94178863	22	+	8645.636600155447E0	3373.1984053971173E0	530.2372440502927E0	1080.7045750194309E0	1.8938054933629594E-4	0.0010051736849388015E0	37.49483203198921E0	5.228619855412704E0	37.49483203198921E0	2020.8610411386705E0	53.89705541760304E0	11.30284173284448E0	124.38132483283779E0
hsa-let-7i-5p	12	62603691	62603713	22	+	208025.3986643775E0	61137.607765012086E0	13444.577971198232E0	26003.17483304719E0	1.847145918512714E-5	2.5490613675475455E-4	11.532110065538593E0	3.5275846063653313E0	11.532110065538593E0	15632.438397914404E0	1355.557508783575E0	6.085330680058483E0	21.854122570446485E0
hsa-miR-100-5p	11	122152275	122152297	22	-	109482.72160282344E0	40276.70028445824E0	6807.760587329073E0	13685.34020035293E0	0.008823981672001761E0	0.017150837616003424E0	2.0743171850012563E0	1.0526365143249783E0	2.0743171850012563E0	2995.543688001788E0	1444.110721972771E0	1.2748781147677448E0	3.3750612973503062E0
hsa-miR-101-3p	1	65058442	65058463	21	-	6925.969147809574E0	1775.1789556298293E0	697.1754742368524E0	865.7461434761967E0	0.004984414193145838E0	0.011464152644235427E0	0.3401727901285822E0	-1.555660348114488E0	-2.9396825055349347E0	585.205932524073E0	1720.3196422895387E0	-5.621892959502717E0	-1.53715719875829E0
hsa-miR-107	10	89592756	89592779	23	-	7760.423228145632E0	1455.938514871287E0	886.319816565465E0	970.052903518204E0	0.014316116782613193E0	0.02565745605195611E0	0.36855305039882075E0	-1.4400557956791542E0	-2.713313589231928E0	529.495626117388E0	1436.6876780253515E0	-5.731237182613967E0	-1.2845517292224282E0
hsa-miR-10a-5p	17	48579904	48579927	23	-	16406.23357443106E0	6133.088009812941E0	1237.0828006830473E0	2050.7791968038823E0	0.007226898248461319E0	0.014666352327759737E0	13.99924275422397E0	3.807276886038154E0	13.99924275422397E0	3456.5161497532677E0	246.90736555517742E0	3.429214708375038E0	57.14976003487354E0
hsa-miR-125b-1-3p	11	122099769	122099791	22	-	9611.659796173091E0	6043.23718148402E0	528.8274253510483E0	1201.4574745216364E0	0.04710223760686458E0	0.06915009350795012E0	3.3405169946739046E0	1.7400713984874505E0	3.3405169946739046E0	487.5890386854344E0	145.96214878221826E0	1.0959389944629188E0	10.182185183741764E0
hsa-miR-125b-5p	11	122099809	122099831	22	-	322201.89344539575E0	62746.952003355844E0	36547.50359764362E0	40275.23668067447E0	6.049814042871957E-4	0.0021407034305546925E0	0.3080791405579087E0	-1.6986270912911263E0	-3.245919208256273E0	18963.73021587958E0	61554.73618015241E0	-5.34294921131033E0	-1.9719430392906796E0
hsa-miR-128-3p	2	135665446	135665467	21	+	18715.136058433498E0	4694.625241877648E0	1940.5041808651733E0	2339.3920073041872E0	0.002949663897022679E0	0.007337932705905828E0	0.23667804704342912E0	-2.0790021990825402E0	-4.225148941745769E0	1100.897839666728E0	4651.457343370039E0	-9.72986840802973E0	-1.8347507727034464E0
hsa-miR-1292-5p	20	2652779	2652804	25	+	1880.7831747814835E0	919.9632014719411E0	32.830818129869016E0	235.09789684768543E0	5.386651289374168E-5	3.912409883861238E-4	271.3417456311521E0	8.083967211526224E0	271.3417456311521E0	849.953745582767E0	3.132410543027433E0	48.1096538645788E0	1530.3860453747507E0
hsa-miR-1307-3p	10	103394301	103394323	22	-	5465.083586426191E0	1744.4395987788923E0	286.82587027436557E0	683.1354483032738E0	7.283938507046488E-5	4.786588161773406E-4	16.85688740078514E0	4.0752662642627895E0	16.85688740078514E0	1337.542784268202E0	79.34696078991783E0	7.03236709462394E0	40.406686542284966E0
hsa-miR-130a-3p	11	57641252	57641274	22	+	55837.8175335275E0	14727.240692945781E0	4769.434144353325E0	6979.727191690938E0	4.581223782374141E-5	3.912409883861238E-4	0.13028677803216937E0	-2.940237413401119E0	-7.67537592919128E0	1769.421516546954E0	13580.975321371741E0	-13.866876994030678E0	-4.248353517505685E0
hsa-miR-130b-3p	22	21653354	21653376	22	+	12495.280724717672E0	2514.067433989242E0	1413.4105357668875E0	1561.910090589709E0	0.038207929341304056E0	0.05832543694120292E0	0.4963822770160769E0	-1.0104764889224558E0	-2.0145763583892258E0	1003.2809458280908E0	2021.18607452672E0	-3.903242999997696E0	-1.0397809984628654E0
hsa-miR-141-3p	12	6964155	6964177	22	+	14855.191436781926E0	12879.484820607177E0	320.45354338241737E0	1856.8989295977408E0	0.009991673832631066E0	0.019150708179209542E0	40.037299965810874E0	5.323272779918453E0	40.037299965810874E0	6774.0042487436995E0	169.1923344058486E0	5.554922603469471E0	288.5702471446017E0
hsa-miR-142-3p	17	58331245	58331268	23	-	14072.36187174821E0	7973.014412756823E0	259.1383612668898E0	1759.0452339685262E0	3.47821790515733E-6	8.790616019067002E-5	233.95233876395844E0	7.8700708408123345E0	233.95233876395844E0	5936.367930612396E0	25.374261939450207E0	77.25748332005442E0	708.4581902102711E0
hsa-miR-142-5p	17	58331283	58331304	21	-	3850.002870000115E0	1839.9264029438823E0	45.33713487886719E0	481.25035875001436E0	5.1657537749923045E-5	3.912409883861238E-4	322.987403745799E0	8.335334091821409E0	322.987403745799E0	1588.486878352164E0	4.918107822100978E0	59.176344171299505E0	1762.881172187168E0
hsa-miR-143-3p	5	149428978	149428999	21	+	10134.953670009443E0	8586.323213738116E0	73.464247569624E0	1266.8692087511804E0	4.258573232083203E-4	0.0017284797236102412E0	493.859961891506E0	8.94795820137026E0	493.859961891506E0	4571.713138902484E0	9.2571042135188E0	51.75698233233661E0	4712.362486541216E0
hsa-miR-146a-5p	5	160485372	160485394	22	+	21153.712139249386E0	13799.448022079117E0	362.72600992429744E0	2644.2140174061733E0	1.2239151527738548E-6	8.445014554139599E-5	219.4137677293909E0	7.777510244283995E0	219.4137677293909E0	9908.08055700056E0	45.157059424822705E0	84.42058719982612E0	570.2684980768088E0
hsa-miR-148a-3p	7	25949922	25949944	22	-	51966.636081678334E0	11099.894286721079E0	4698.469220974892E0	6495.829510209792E0	0.008486161367402455E0	0.016729860981450555E0	0.23875828949393219E0	-2.0663772716691207E0	-4.188336254710076E0	2634.1698421199617E0	11032.789053483542E0	-14.226768455377417E0	-1.233039016382407E0
hsa-miR-148b-3p	12	54337278	54337300	22	+	46141.13728271918E0	10533.233016828412E0	5010.545715264852E0	5767.642160339898E0	0.0012939196162648629E0	0.003960432386149443E0	0.27384310418042895E0	-1.868578543496474E0	-3.651726060412764E0	2731.2913054508463E0	9973.927640875201E0	-6.9718054128376306E0	-1.912718790995364E0
hsa-miR-151a-3p	8	140732587	140732608	21	-	16667.025051915774E0	4460.822342901474E0	1644.1701624532886E0	2083.378131489472E0	0.004950242905679379E0	0.011464152644235427E0	0.293581303048173E0	-1.7681680029276001E0	-3.4062114637999024E0	543.2993450921203E0	1850.592457910779E0	-7.570642148417693E0	-1.5325353264183557E0
hsa-miR-155-5p	21	25573983	25574007	24	+	5580.8731666279145E0	1874.8383760020688E0	221.74991613045452E0	697.6091458284893E0	1.1279263060697605E-4	6.380718786360214E-4	84.7856208850184E0	6.405747708297757E0	84.7856208850184E0	710.4302643121757E0	8.37913618327957E0	18.65775346574489E0	385.28762436786076E0
hsa-miR-15b-5p	3	160404607	160404629	22	+	33650.747594982124E0	8986.53799987865E0	3133.0479378370014E0	4206.3434493727655E0	5.207822267615276E-4	0.0019423769538673193E0	0.20196879856538033E0	-2.307795661473921E0	-4.951259833712805E0	1072.794971209507E0	5311.686652193599E0	-9.611433371042965E0	-2.5506054086371472E0
hsa-miR-16-5p	3	160404754	160404776	22	+	495679.9945303301E0	90291.42605396935E0	54162.76956742509E0	61959.999316291265E0	5.567830134816913E-4	0.002022001470012458E0	0.28133549343096886E0	-1.8296365196019484E0	-3.5544750781520906E0	23729.19085093605E0	84344.81752243062E0	-6.041221359563988E0	-2.0913474824428824E0
